,cell ID,Cahtode,Anode,Source,Ah,form factor,Temp,max soc,min soc,Charge rate,Discharge Rate,Mean_Q10-100,Minimum_Q10-100,Variance_Q10-100,Skewness_Q10-100,Kurt_Q10-100,index_lifetime,slope_2to100,intercept_2to100,slope_91to100,intercept_91to100
10,SNL_18650_LFP_25C_0-100_0.5/2C_b,LFP,graphite,snl,1.1,18650,25,100,0,0.5,2.0,1.2908415373895483,9.591398409080838,2.923216778550448,2.0738027859083075,0.0,2780,-0.0006637530363598103,1.0717134058871907,0.0,1.026
11,SNL_18650_LFP_25C_0-100_0.5/3C_a,LFP,graphite,snl,1.1,18650,25,100,0,0.5,3.0,3.701577342992923,9.822066428290265,7.694108321833491,0.9693950946365536,0.0,4030,-0.000727438491797844,1.0760213581215052,-0.00014999999999998348,1.0389166666666654
12,SNL_18650_LFP_25C_0-100_0.5/3C_b,LFP,graphite,snl,1.1,18650,25,100,0,0.5,3.0,2.9768049364567455,7.768364479701964,4.519080529631142,1.824527628304479,3.752698957827526,3676,-0.0007398580800642658,1.0838526289616128,-0.0001666666666666853,1.0473888888888907
13,SNL_18650_LFP_25C_0-100_0.5/3C_c,LFP,graphite,snl,1.1,18650,25,100,0,0.5,3.0,2.937014014090453,9.11185117862707,4.234213945627548,1.791584578175477,3.6722248303450886,2956,-0.0007503331229398974,1.0745959043411177,-0.00011666666666667973,1.0323055555555567
14,SNL_18650_LFP_25C_0-100_0.5/3C_d,LFP,graphite,snl,1.1,18650,25,100,0,0.5,3.0,3.6836152949580856,10.306902405258699,8.039587004673555,1.965471806126245,0.0,3676,-0.0007449011469630028,1.0962603650644889,-0.0001500000000000168,1.0579166666666682
15,SNL_18650_LFP_25C_20-80_0.5/0.5C_a,LFP,graphite,snl,1.1,18650,25,80,20,0.5,0.5,7.559796614778056,5.049232749899065,15.424820192204363,0.09238842072900937,0.0,1109,-0.000994376757263355,0.620083373180575,0.0,0.551
16,SNL_18650_LFP_25C_20-80_0.5/0.5C_b,LFP,graphite,snl,1.1,18650,25,80,20,0.5,0.5,4.296669322832554,5.593070263284357,8.898378773076338,0.09189116862888858,0.0,4276,-0.00100556586270872,0.6525769944341372,3.333333333333336e-05,0.5791666666666666
17,SNL_18650_LFP_25C_20-80_0.5/0.5C_c,LFP,graphite,snl,1.1,18650,25,80,20,0.5,0.5,7.803087109796978,4.622151453049352,15.913021296023484,0.09348238802194234,0.0,5122,-0.0010124769682943462,0.6594158011845787,0.0,0.589
18,SNL_18650_LFP_25C_20-80_0.5/0.5C_d,LFP,graphite,snl,1.1,18650,25,80,20,0.5,0.5,5.7051597435596735,5.101360013454927,11.72615494184884,0.09927242406528115,4.682638912837108,6577,-0.000985259708381947,0.6548678601712475,1.666666666666668e-05,0.5845277777777776
19,SNL_18650_LFP_25C_40-60_0.5/0.5C_a,LFP,graphite,snl,1.1,18650,25,60,40,0.5,0.5,10.652984546729783,2.2714257803971662,21.495215592248883,0.015219864549663993,0.0,388,-0.0007940184508667573,0.2732918093197917,0.0,0.22
20,SNL_18650_LFP_25C_40-60_0.5/0.5C_b,LFP,graphite,snl,1.1,18650,25,60,40,0.5,0.5,11.934575972620056,3.4352167930774633,24.060401693049915,0.016503737116821984,0.0,568,-0.0007915447341073261,0.27312607029690983,0.0,0.22
21,SNL_18650_LFP_35C_0-100_0.5/1C_a,LFP,graphite,snl,1.1,18650,35,100,0,0.5,1.0,2.6061369189660364,8.075382004883984,5.563177292745688,1.2482879124261537,0.0,3130,-0.0007773591160925472,1.1136443904647146,-6.666666666665932e-05,1.0644444444444436
22,SNL_18650_LFP_35C_0-100_0.5/1C_b,LFP,graphite,snl,1.1,18650,35,100,0,0.5,1.0,4.255200726740274,10.992450636184094,9.074443846285343,1.3037409697104725,0.0,3324,-0.0007440468221027874,1.080482527781497,-0.0001500000000000168,1.0419166666666682
23,SNL_18650_LFP_35C_0-100_0.5/1C_c,LFP,graphite,snl,1.1,18650,35,100,0,0.5,1.0,3.3043480512311865,10.6660455599859,7.4502496941062715,1.9558669917210412,0.0,3320,-0.0007820451517064189,1.0932381781203582,-0.00011666666666667973,1.048305555555557
24,SNL_18650_LFP_35C_0-100_0.5/1C_d,LFP,graphite,snl,1.1,18650,35,100,0,0.5,1.0,3.3652202799831077,5.992825902212657,7.520506971868959,2.4556754987133402,0.0,3368,-0.000761413843888071,1.0966044603408374,-0.00014999999999998348,1.0569166666666647
25,SNL_18650_LFP_35C_0-100_0.5/2C_a,LFP,graphite,snl,1.1,18650,35,100,0,0.5,2.0,2.407322773752772,6.632358935680513,4.742114823146314,1.043981147046145,2.7490411410515803,3817,-0.0007606487768490715,1.1008107224145518,-6.666666666665932e-05,1.0532222222222214
26,SNL_18650_LFP_35C_0-100_0.5/2C_b,LFP,graphite,snl,1.1,18650,35,100,0,0.5,2.0,0.12410390132385722,8.26821495459168,0.6239794745464876,2.2319937858357974,0.0,3557,-0.0007522967950066623,1.0753481310049793,-0.0001500000000000168,1.0359166666666684
27,SNL_18650_NCA_15C_0-100_0.5/1C_a,NCA,graphite,snl,3.2,18650,15,100,0,0.5,1.0,1.5582544558037983,2.741456435951447,5.459181882575726,0.0,0.0,337,-0.004313454341436669,2.9945131177119397,-0.0027166666666666337,2.8846388888888863
28,SNL_18650_NCA_15C_0-100_0.5/1C_b,NCA,graphite,snl,3.2,18650,15,100,0,0.5,1.0,1.9375958375925348,3.167311572994609,5.895678218417031,0.0,0.0,718,-0.003583389119471595,2.9544611505333154,-0.0016499999999999885,2.822972222222221
29,SNL_18650_NCA_15C_0-100_0.5/2C_a,NCA,graphite,snl,3.2,18650,15,100,0,0.5,2.0,2.1345240087648323,8.72680083135468,4.779440393607538,1.2689023162116926,0.0,307,-0.004613194856199276,2.9660989932992883,-0.003433333333333311,2.881388888888887
30,SNL_18650_NCA_15C_0-100_0.5/2C_b,NCA,graphite,snl,3.2,18650,15,100,0,0.5,2.0,1.7266943006993498,2.9252990040259585,5.105032018759137,0.0,0.0,324,-0.004507908880515657,2.9610677658129787,-0.0032333333333333623,2.8752777777777805
31,SNL_18650_NCA_25C_0-100_0.5/0.5C_a,NCA,graphite,snl,3.2,18650,25,100,0,0.5,0.5,2.017837822908458,2.7705697980584185,6.946866924672305,0.0,0.0,377,-0.005098177227779585,3.0918661132681753,0.23521666666666663,-20.499138888888886
32,SNL_18650_NCA_25C_0-100_0.5/0.5C_b,NCA,graphite,snl,3.2,18650,25,100,0,0.5,0.5,0.9121563325537365,1.220541982930771,4.932144336365458,0.928152461813807,0.0,326,-0.00515743166995008,3.28318499321003,-0.0028500000000000266,3.102083333333336
33,SNL_18650_NCA_25C_0-100_0.5/1C_a,NCA,graphite,snl,3.2,18650,25,100,0,0.5,1.0,1.862612061731423,2.574240213674886,6.4429979909902215,0.0,0.0,488,-0.0038195334366173867,3.1716415405899943,-0.0012833333333333327,2.9965833333333336
34,SNL_18650_NCA_25C_0-100_0.5/1C_b,NCA,graphite,snl,3.2,18650,25,100,0,0.5,1.0,1.7495619857422922,2.054794645175098,7.056415176431808,0.0,0.0,488,-0.0037440850754547387,3.144055888147199,-0.0020166666666666592,3.045916666666666
35,SNL_18650_NCA_25C_0-100_0.5/1C_c,NCA,graphite,snl,3.2,18650,25,100,0,0.5,1.0,1.6465132389067731,2.0891632656779855,6.588800126889454,0.0,0.0,373,-0.0038051310496082214,3.2310876894337865,-0.0018833333333333482,3.1009166666666683
36,SNL_18650_NCA_25C_0-100_0.5/1C_d,NCA,graphite,snl,3.2,18650,25,100,0,0.5,1.0,1.439541073956523,1.7425316729384628,6.303044822700956,0.7786831588733606,0.0,469,-0.0038550197961096347,3.2048009486831277,-0.0005000000000000116,2.938277777777779
37,SNL_18650_NCA_25C_0-100_0.5/2C_a,NCA,graphite,snl,3.2,18650,25,100,0,0.5,2.0,1.7838598931066274,2.6478659849252275,6.25373784499244,0.0,1.0774030188142307,450,-0.004015505358657052,3.18670138795912,-0.0031333333333333287,3.1453333333333333
38,SNL_18650_NCA_25C_0-100_0.5/2C_b,NCA,graphite,snl,3.2,18650,25,100,0,0.5,2.0,2.001229196338218,2.456355686064853,6.9857747054500035,0.0,0.0,447,-0.0035863091253371063,3.060771876135646,-0.001300000000000005,2.898833333333334
39,SNL_18650_NCA_25C_20-80_0.5/0.5C_a,NCA,graphite,snl,3.2,18650,25,80,20,0.5,0.5,1.0428110302507312,4.159738058110127,0.03259939936584235,1.3895967214564884,2.784708814308719,627,-0.0030280460825379816,2.1866306128824538,-0.0006833333333333321,2.0225833333333334
40,SNL_18650_NCA_25C_20-80_0.5/0.5C_b,NCA,graphite,snl,3.2,18650,25,80,20,0.5,0.5,2.2181524869582825,5.042048496420258,3.1647229804670456,1.3667589790091688,2.7418196693562233,877,-0.0029414723715165516,2.183187211904443,-0.00023333333333332615,1.9892777777777773
41,SNL_18650_NCA_25C_20-80_0.5/0.5C_c,NCA,graphite,snl,3.2,18650,25,80,20,0.5,0.5,0.5840274986323114,9.993251906026785,1.1672270346739106,1.4070674364314284,2.8209238662686213,702,-0.003011692774579372,2.177957832055034,-0.0007000000000000043,2.0233888888888893
42,SNL_18650_NCA_25C_20-80_0.5/0.5C_d,NCA,graphite,snl,3.2,18650,25,80,20,0.5,0.5,0.9252449642251954,6.844206966003896,0.37724556437721735,1.401839216495151,2.8110244266168025,821,-0.002902919368309648,2.135842326058821,0.00011666666666665382,1.9120277777777788
43,SNL_18650_NCA_25C_40-60_0.5/0.5C_a,NCA,graphite,snl,3.2,18650,25,60,40,0.5,0.5,10.609783573569004,5.188738220805622,22.000778420562174,0.4104246607235345,0.11178271947782858,461,-0.002290782854847656,0.8037559627412355,0.0,0.65
44,SNL_18650_NCA_25C_40-60_0.5/0.5C_b,NCA,graphite,snl,3.2,18650,25,60,40,0.5,0.5,12.326599724648318,5.670971933339198,25.415737353226817,0.3981491963923242,0.05772740421755061,140,-0.002301296151075238,0.8044603535884833,0.0,0.65
45,SNL_18650_NCA_35C_0-100_0.5/1C_a,NCA,graphite,snl,3.2,18650,35,100,0,0.5,1.0,2.1740393162712377,3.595591853255188,5.899418019786039,0.0,0.0,444,-0.003627163705219673,3.2862227875217562,-0.00864999999999998,3.786194444444442
46,SNL_18650_NCA_35C_0-100_0.5/1C_b,NCA,graphite,snl,3.2,18650,35,100,0,0.5,1.0,2.5586095658409795,6.885901499992654,6.370912826909484,0.0,0.0,454,-0.0030365319511122175,3.2294979247556572,-0.0027500000000000007,3.2564722222222224
47,SNL_18650_NCA_35C_0-100_0.5/1C_c,NCA,graphite,snl,3.2,18650,35,100,0,0.5,1.0,1.9375910671712524,2.7055719054161447,6.018571374401234,0.0,0.0,419,-0.0036058629637421985,3.278218528648573,-0.0014000000000000087,3.124222222222223
48,SNL_18650_NCA_35C_0-100_0.5/1C_d,NCA,graphite,snl,3.2,18650,35,100,0,0.5,1.0,2.035674749752257,3.2384678295844167,5.8143577335755845,0.0,0.0,643,-0.002959904111597777,3.258862912737729,-0.0014666666666666754,3.1610000000000005
49,SNL_18650_NCA_35C_0-100_0.5/2C_a,NCA,graphite,snl,3.2,18650,35,100,0,0.5,2.0,2.6074183963435074,10.330852874793388,5.579504061651909,0.05721773639683796,1.4741908298041908,366,-0.003690237107026504,3.123356973904839,-0.0022833333333333187,3.0252499999999984
50,SNL_18650_NCA_35C_0-100_0.5/2C_b,NCA,graphite,snl,3.2,18650,35,100,0,0.5,2.0,1.5531388345700854,3.067934284894692,2.8229436307229787,0.9674023461634476,1.9130830169215596,347,-0.003776555795701599,3.1514813738053795,-0.0023000000000000056,3.041722222222223
51,SNL_18650_NMC_15C_0-100_0.5/1C_a,NMC,graphite,snl,3.0,18650,15,100,0,0.5,1.0,1.4985771465161224,6.201614972033876,3.687095798080787,2.2871491723272306,0.0,159,-0.005315086484453199,2.763452683791417,-0.003533333333333359,2.642222222222225
52,SNL_18650_NMC_15C_0-100_0.5/1C_b,NMC,graphite,snl,3.0,18650,15,100,0,0.5,1.0,1.5004729868688693,6.215052437272191,4.447637839497687,0.0,0.0,209,-0.004722554813865565,2.7171828956512316,-0.0035666666666666885,2.6368333333333354
53,SNL_18650_NMC_15C_0-100_0.5/2C_a,NMC,graphite,snl,3.0,18650,15,100,0,0.5,2.0,1.2272508701841969,7.2240104392651405,2.9884393344876377,0.8900616416982584,0.0,151,-0.005432881306224456,2.788217648821478,-0.003233333333333325,2.6328333333333322
54,SNL_18650_NMC_15C_0-100_0.5/2C_b,NMC,graphite,snl,3.0,18650,15,100,0,0.5,2.0,1.3524852125544864,6.807815327541905,3.3517744024002747,0.9924663847116968,0.0,146,-0.005467800240996119,2.7713177897213246,-0.0036333333333333183,2.650944444444443
55,SNL_18650_NMC_25C_0-100_0.5/0.5C_a,NMC,graphite,snl,3.0,18650,25,100,0,0.5,0.5,2.2588710547814235,6.078262180736295,6.260326039263779,0.0,0.0,541,-0.004635687827145855,2.8236634597606614,-0.0016000000000000161,2.817555555555557
56,SNL_18650_NMC_25C_0-100_0.5/0.5C_b,NMC,graphite,snl,3.0,18650,25,100,0,0.5,0.5,1.8867581741564716,4.44279679837917,5.046560010814477,0.0,0.0,563,-0.004606066981619265,3.021494137673814,-0.0005999999999999931,2.7248888888888882
57,SNL_18650_NMC_25C_0-100_0.5/1C_a,NMC,graphite,snl,3.0,18650,25,100,0,0.5,1.0,2.0317974531627048,4.249824107958382,5.279445057823619,0.0,0.0,509,-0.0043816600679634585,2.985753425268889,-0.001149999999999977,2.7549166666666642
58,SNL_18650_NMC_25C_0-100_0.5/1C_b,NMC,graphite,snl,3.0,18650,25,100,0,0.5,1.0,2.0433719892635196,4.111353996959522,5.388091749847646,0.0,0.0,772,-0.00420515272650766,2.931829600443738,-0.0011499999999999917,2.7145833333333327
59,SNL_18650_NMC_25C_0-100_0.5/1C_c,NMC,graphite,snl,3.0,18650,25,100,0,0.5,1.0,2.0080814689162065,3.6847267013182368,5.377384857218075,0.0,0.0,386,-0.004239300218681664,2.9527377222679143,-0.0011666666666666566,2.735277777777777
60,SNL_18650_NMC_25C_0-100_0.5/1C_d,NMC,graphite,snl,3.0,18650,25,100,0,0.5,1.0,1.9905552697767483,4.372781561071954,5.15940519133859,0.0,0.0,462,-0.0043900885565097665,2.9707096761853755,-0.0011499999999999917,2.7395833333333326
61,SNL_18650_NMC_25C_0-100_0.5/2C_a,NMC,graphite,snl,3.0,18650,25,100,0,0.5,2.0,2.24607513621459,10.63432329616091,5.082254969622296,2.768953788044204,0.0,621,-0.004252835529713291,2.944860030985215,-0.0011166666666666768,2.720861111111112
62,SNL_18650_NMC_25C_0-100_0.5/2C_b,NMC,graphite,snl,3.0,18650,25,100,0,0.5,2.0,1.313180725201653,5.579182244954184,2.1963386799050864,1.1923866542295598,2.478148298034263,1078,-0.0036002588476815277,2.9163742962977133,-0.0011833333333333216,2.7455277777777765
63,SNL_18650_NMC_25C_0-100_0.5/3C_a,NMC,graphite,snl,3.0,18650,25,100,0,0.5,3.0,0.9824035922952988,6.218432173667926,2.072887105781728,0.7789933835796319,0.0,718,-0.004366824142965529,2.961810333505473,-0.0008833333333333027,2.7076944444444413
64,SNL_18650_NMC_25C_0-100_0.5/3C_b,NMC,graphite,snl,3.0,18650,25,100,0,0.5,3.0,1.0205112728303825,11.226913115514787,2.0822407098844042,0.8731462441048937,0.0,415,-0.004385217629694802,2.970994306626118,-0.0011166666666666695,2.7383055555555558
65,SNL_18650_NMC_25C_0-100_0.5/3C_c,NMC,graphite,snl,3.0,18650,25,100,0,0.5,3.0,0.9870317382297342,3.8484489633126975,2.175809776496236,1.0457058368128607,0.0,685,-0.004305969435571794,2.9592983952718854,-0.001016666666666673,2.716916666666667
66,SNL_18650_NMC_25C_0-100_0.5/3C_d,NMC,graphite,snl,3.0,18650,25,100,0,0.5,3.0,0.9865703573829441,7.774515991142607,2.050887515892014,0.9672823266316014,0.0,471,-0.004451593570886651,2.9787646590032453,-0.0009999999999999935,2.729999999999999
67,SNL_18650_NMC_25C_20-80_0.5/0.5C_a,NMC,graphite,snl,3.0,18650,25,80,20,0.5,0.5,0.17812587876819425,10.612301200322428,1.303068468932024,0.547846206516064,0.6405807383436272,1660,-0.0010764556994306625,1.87224876792329,0.0,1.7999999999999998
68,SNL_18650_NMC_25C_20-80_0.5/0.5C_b,NMC,graphite,snl,3.0,18650,25,80,20,0.5,0.5,1.203580729313953,2.9630835157329063,3.192658509629305,0.44814831646555664,0.2720943011171254,1727,-0.0010838768497089557,1.8727459849919357,0.0,1.7999999999999998
69,SNL_18650_NMC_25C_20-80_0.5/0.5C_c,NMC,graphite,snl,3.0,18650,25,80,20,0.5,0.5,0.5441959896905735,6.951044239012238,1.9550391206865336,0.505907805243781,0.48856045772717593,635,-0.0010764556994306625,1.87224876792329,0.0,1.7999999999999998
70,SNL_18650_NMC_25C_20-80_0.5/0.5C_d,NMC,graphite,snl,3.0,18650,25,80,20,0.5,0.5,0.7836774134410787,4.9581084400074165,1.5186003959601144,0.8389601988416321,0.0,1465,-0.0010851710881165965,1.8728215481131543,0.0,1.7999999999999998
71,SNL_18650_NMC_25C_20-80_0.5/3C_a,NMC,graphite,snl,3.0,18650,25,80,20,0.5,3.0,0.9922948541772433,5.302613430540699,2.827641889880604,0.4834223186896126,0.3963729161007741,1435,-0.001084406021077597,1.8727625040644191,5.00000000000056e-05,1.7951388888888886
72,SNL_18650_NMC_25C_40-60_0.5/3C_a,NMC,graphite,snl,3.0,18650,25,60,40,0.5,3.0,3.5090498007310527,9.359832327135392,8.086350426482351,2.601326789818904,0.0,12911,-0.002172701132936774,0.7458234480296335,0.0,0.6
73,SNL_18650_NMC_35C_0-100_0.5/1C_a,NMC,graphite,snl,3.0,18650,35,100,0,0.5,1.0,2.1749650784216046,6.514071455079523,5.269176762614139,0.0,0.0,652,-0.004188436011705526,2.9698425492033738,-0.0010999999999999825,2.7512777777777764
74,SNL_18650_NMC_35C_0-100_0.5/1C_b,NMC,graphite,snl,3.0,18650,35,100,0,0.5,1.0,2.0338678002554635,7.594647801987432,4.879380516170996,0.0,0.0,518,-0.004810346256590735,2.990208200243547,0.032183333333333314,-0.5061944444444424
75,SNL_18650_NMC_35C_0-100_0.5/1C_c,NMC,graphite,snl,3.0,18650,35,100,0,0.5,1.0,2.1614373848972996,6.602597116838837,5.132902194093434,0.0,0.0,771,-0.004244356036697715,2.9717379390369074,-0.0010666666666666676,2.7464444444444447
76,SNL_18650_NMC_35C_0-100_0.5/1C_d,NMC,graphite,snl,3.0,18650,35,100,0,0.5,1.0,2.033778922571578,5.497088965088184,6.179274098964923,0.0,0.6170504832620123,63,-0.003535706316265964,2.9133286791755117,-0.0009999999999999935,2.7429999999999994
77,SNL_18650_NMC_35C_0-100_0.5/2C_a,NMC,graphite,snl,3.0,18650,35,100,0,0.5,2.0,2.127968443864459,5.547208622271752,4.7219263433220355,0.6936130955393887,0.0,655,-0.0042341168894924446,2.983220862103042,-0.0009499999999999916,2.745916666666666
78,SNL_18650_NMC_35C_0-100_0.5/2C_b,NMC,graphite,snl,3.0,18650,35,100,0,0.5,2.0,1.9637869723563113,6.2123368560789185,4.356777296951864,0.4713366479750933,0.0,757,-0.004073057526665776,2.93541389489254,-0.0012499999999999957,2.7458611111111106
